纸张核价表（2025.11.3）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
注意; 卷筒纸分切每吨加100元费用,,,,,,,,更新人：,,,张倩倩,,复核人,, ,,,,,,,,,,,,,,,,,,,,,,,,
其他纸张核价吨价=进货吨价*1.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
特种纸张核价吨价=进货吨价*1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
^进货吨价及时查询仓库库存，每月不少于一次核价吨价调整                                      ,,,,,,,,更新时间：,,,2026/6/15,,复核时间,,,上涨,↑,,,,,,,,,,,,,,,,,,,,,,
说明：①报价为平张价格，卷筒-100元/吨，量大可另外报价；②卷筒纸分切每吨加100元费用；③特种纸张核价吨价=进货吨价*1.1（其他*1.05）；④进货吨价及时查询仓库库存，每月不少于一次核价吨价调整；⑤大单另外询价。以上不含运费。,,,,,,,,,,,,,,,,未调整,-,,,,,,,,,,,,,,,,,,,,,,
序号,种类,品牌,克重,供应商,报价,供应商,报价,供应商,报价,进货吨价,涨幅,核价吨价,标规单张,大规单张,备注,下跌,↓,,,,,,,,,,,,,,,,,,,,,,
46,白卡,亚洲,230,,,,,,,4510,↓,4645.3,0.92 ,1.13 ,,,,,,,,,,,,,,,,,,,,,,,,,
47,白卡,亚洲,250,,,,,,,4210,↓,4336.3,0.93 ,1.15 ,,,,,,,,,,,,,,,,,,,,,,,,,
48,白卡,亚洲,300,,,,,,,4210,↓,4336.3,1.12 ,1.38 ,,,,,,,,,,,,,,,,,,,,,,,,,
49,白卡,亚洲,350,,,,,,,4210,↓,4336.3,1.30 ,1.61 ,,,,,,,,,,,,,,,,,,,,,,,,,
50,白卡,亚洲,400,,,,,,,4210,↓,4336.3,1.49 ,1.84 ,,,,,,,,,,,,,,,,,,,,,,,,,
51,单面牛皮纸,理文,150,,,,,,,5250,,5407.5,0.70 ,0.86 ,,,,,,,,,,,,,,,,,,,,,,,,,
52,单面牛皮纸,理文,200,,,,,,,5300,,5459,0.94 ,1.16 ,,,,,,,,,,,,,,,,,,,,,,,,,
53,单面牛皮纸,理文,250,,,,,,,5300,,5459,1.17 ,1.45 ,,,,,,,,,,,,,,,,,,,,,,,,,
54,单面牛皮纸,理文,300,,,,,,,5300,,5459,1.41 ,1.74 ,,,,,,,,,,,,,,,,,,,,,,,,,
55,双面牛皮纸,精牛,70,,,,,,,7500,,7725,0.46 ,0.57 ,,,,,,,,,,,,,,,,,,,,,,,,,
56,双面牛皮纸,精牛,80,,,,,,,7500,,7725,0.53 ,0.66 ,,,,,,,,,,,,,,,,,,,,,,,,,
57,双面牛皮纸,精牛,100,,,,,,,7500,,7725,0.66 ,0.82 ,,,,,,,,,,,,,,,,,,,,,,,,,
58,双面牛皮纸,精牛,120,,,,,,,7500,,7725,0.80 ,0.98 ,,,,,,,,,,,,,,,,,,,,,,,,,
59,双面牛皮纸,精牛,150,,,,,,,7500,,7725,1.00 ,1.23 ,,,,,,,,,,,,,,,,,,,,,,,,,
