2024杭州悦声印刷纸综合价格表,,,,,,,,2024杭州悦声包装纸综合价格表,,,,,,,,,,
未注明/吨的，均为令价,,,,,,,,未注明/吨的，均为令价,,,,,,,,,,
,,无瑕白,250双面,,4050 ,,,,,,,,深棕/宝蓝/金棕/紫铜,令,1050 ,,,
,,石砚黑,,,4350 ,,,39~41,,魅力系列,120,浅色,冰白,令,800 ,,,
,,宝石红,,,4650 ,,,,,,,主色,白金|星翠|米金|粉红|天蓝|太空银|金黄|米白|米黄|珠白||白色|黑色|超白/荧粉蓝,令,850 ,,,
,,珍珠白,270双面,,4900 ,,,,,,,深色白底,古铜/紫红/香槟/棕铜/宝蓝/紫色/银碳,令,900 ,,,
,,石砚黑/宝石红/摩卡棕/皇家蓝,,,5700 ,,,,,,,其它,幻金/黑金/复色/红银,令,1000 ,,,
15,梵净,平面,120-300,正度,21500/吨,定制产品,,41~47,翼羽牌,"亮丽充皮
（高亮系列）",120g,黑色,细格/荔枝/蜥蜴/莲珠/鳄鱼纹/充皮纹,令,1100 ,东莞基地定制产品，原纸常备卷筒，支持特规特定,,
17,"意象牌
超感纸",超白,120-320,正/大度,14000/吨,东莞基地定制产品,,,,,,其它单色,,令,1150 ,,,
,,,120,,722 ,,,,,,,双色,,令,1200 ,,,
,,,140,,842 ,,,,,亮丽充皮,120,黑色,"其中蜥蜴/藤条/鳄鱼/兰叶/云盾/莲珠/莱特纹/小皮纹3令起订,其余纹路不限",令,800 ,东莞基地批量备货，可特规特定,,
,,,170,,1023 ,,,,,,,其它单色,,令,875 ,,,
,,,220,,1324 ,,,,,,,双色,,令,950 ,,,
,,,260,,1564 ,,,,,亮丽卡,230,大红/黑色,平面/单面纹,令,1600 ,东莞基地定制产品，原纸常备卷筒，支持特规特定,,
,,,320,,1925 ,,,,,,250,,,令,1700 ,,,
,"中国元素
新锦帛",普白,100-120,正/大度,11000/吨,100/120克适量备货；80/150克为定制产品,,,,,300,,,令,1950 ,,,
,,,100,,475 ,,,,,,350,,,令,2200 ,,,
,,,120,,570 ,,,49~52,◇PVC充皮纸系列,金属PVC,A/G系列,1.08×50m,金属PVC,米,9.30 ,,,
,"中国元素
(仿宣)",普白,55,正/大度,475 ,,,,,PVC,TC系列,1.08×50m,绒感/触感/皮感平面,米,12.60 ,,,
,,,80,,690 ,,,,,,FC系列,1.08×50m,绒感/触感/皮感平面,米,10.00 ,,,
,,,110,,945 ,,,,,珠光PVC,T/F/JM系列,1.08×50m,珠光PVC,米,7.80 ,,,
,,,220,,2270 ,,,,,双色系列,DP/CA系列,1.08×50m,双色PVC,米,7.00 ,,,
,,,140涂布,,1500 ,,,,,单色系列,D系列,1.08×50m,单色PVC,米,6.40 ,,,
,尚品,超白/米白,135-320,正/大度,15500/吨,东莞基地定制产品,,,,亮面PVC,D7×××,0.787*100,针孔纹,米,9.60 ,,,
,,,135,,900 ,,,53,装帧布,天然丝,,1.42*100米,深红/深蓝/金黄/金棕/金米,米,10.50 ,非备货产品,,
,,,190,,1265 ,,,,,东洋细布,,1.08*100米,深咖啡/深蓝/酒红/灰色/大红,米,20.50 ,按需调拨，货期5~10天,,
,,,240,,1600 ,,,,,天然麻布,,1.2*100米,白色/灰色/深棕/米色,米,25.00 ,定色：1000-1500米起，以实际颜色评估,,
,,,320,,2135 ,,,,工艺纸,手造纸,,1100*800,80-CSP005,令,2200 ,,,
,,,380,,2535 ,,,,,,,,100-CSP005 / 100-CSP011,令,2515 ,,,
19,高级手袋用纸涂布白牛皮,超感,120-170,正/大度,12500 ,定制产品,,,,,,640*940,HM-001/002/003,令,3890 ,,,
,,珠光,130,,880 ,,,,,,,正度,KDP775-07红色,令,2965 ,,,
,,,190,,1185 ,,,,,,,正度,KDP775-10黑色,令,2965 ,,,
20,灵感莹采,单面,130g,正度,1300,"太阳金 沙茶金 雅典黄
金丝黄 亚丁绿 桃花粉
水银灰 欧曼金
金丝黄、亚丁绿、桃花粉
水银灰、欧曼金",,,,,,正度,LJ-018 沙银B,令,6270 ,,,
,,,130g,,1450,"玄武黑 炫丽橙 波尔红
尼罗蓝 伽罗棕 苏木紫
石墨灰 罗马灰",,,,,,正度,LJ-021古铜,令,4340 ,,,
,,,130g,,1550,"京紫红 乌雅紫 暗玉紫
芬兰绿 竹月蓝 云水蓝
道奇蓝 戈亚红",,54~55,金银花纹纸,,125,正度,金/银  纹面,令,,按单核价,,
,,,230g,,2300,"水银灰 玄武黑 炫丽橙
太阳金 尼罗蓝 欧曼",,,,,128,,金/银  平面,令,,,,
,,,230g,,2450,"戈亚红 暗玉紫
竹月蓝 云水",,,,,128,,膜拉丝/哑膜(外购),令,,,,
,,双面,140g,,1800,金黄 古铜 深棕 粉红 紫红 金棕 墨绿 幻蓝 银灰 米黄 戈亚红 暗玉紫 炫丽橙 云水蓝 玄武黑 水银,,,,,128,,素面镭射（外购）,令,,,,
,,,160g,,2050,戈亚红 水银灰 玄武黑 古铜 幻蓝 紫红,,,钻石彩卡-酷黑,,110-400,正度,黑色,吨,14000/吨,东莞备货，2500张起切，不足200开机费,,
,,,240g,,2675,戈亚红、暗玉紫、炫丽橙 云水蓝、水银灰、玄武黑,,56,哑光黑卡,,110单面,正/大度,哑光单面,令,975 ,东莞基地定制产品，原纸常备卷筒，支持特规特定,,
21,灵感莹采,白色/珠色,110g单面,正度,1550 ,S,,,,,250单面,,,令,1550 ,,,
,,,120,,2075 ,,,,,,300单面,,,令,1900 ,,,
,,,220,,3025 ,,,,,,350单面,,,令,2150 ,,,
,,,270,,3525 ,,,,,,150,,新,令,1525 ,,,
,数码珠光,超白/冰白,120g-250g,平面,29200/吨,售完定制，起订数量5吨,,,,,180,,,令,1600 ,,,
,,,120,,1580,,,,,,200,,,令,1750 ,,,
,,,120,,1060,,,,,,230,,,令,1900 ,,,
,,,250,,3295,,,,,,250,,,令,2000 ,,,
,,,250,,2200,,,,,,300,,,令,2300 ,,,
,数码滑面,,120-250,,16500/吨,,,,,,350,,,令,2550 ,,,
22,星幻炫白,平面,130单面,正度,1350 ,东莞基地产品，不备卷筒，不支持特规分切,,,,,400,,,令,2800 ,,,
,,,140双面,,1500 ,,,,,,450,,,令,3100 ,,,
,,,170双面,,1750 ,,,,纯黑卡,,110-150,正/大度,黑色,令,11000/吨,1、东莞大批量备货，造纸幅宽（2460~2780)mm,,
,,,270双面,,2400 ,,,,,,200-500,,,吨,10500/吨,2、分切特规2500㎡起订不足开机费200元,,
,,,320双面,,2750 ,,,,高磅黑卡,,600-1200,正度,外购,吨,10500/吨,非备货产品，货期2-3天,,
23,星烁珠光,冰白/超白,125,正/大度,1475 ,东莞仓适量备货,,新增,双面环保黑卡,,110-150,正/大度,,吨,10200/吨,1、东莞批量备货，可定制FSC Recycled 100%,,
,,,210,,2100 ,,,,,,180-350,,,吨,9700/吨,2、切特规2500㎡起订，不足收开机费200元,,
,,,250,,2575 ,,,,嵩厚黑卡,,100-160,正/大度,,吨,13600,,,
,,,315,,2975 ,,,,,,170-350,,,吨,13000,,,
,骊歌,缎白/珠色,120,正度,1550 ,东莞基地定制产品,,,,,110,,P155,令,644,非备货产品,,
,,,170,,2000 ,,,,,,130,,P185,令,758,,,
,,,200,,2200 ,,,,,,150,,P215,令,877,按需调拨，货期5~10天,,
,,,240,,2475 ,,,,,,200,,P310,令,1113,,,
,,,260,,2610 ,,,,,,250,,P380,令,1389,,,
,,,320,,3025 ,,,,,,300,,P430,令,1670,,,
24,星域平面,超白/米白/冰白/白金,120,正度,1450 ,东莞基地定制产品,,58,永萃牌,染色坑纸,120g*2,正度     华东外购,牛皮底纸,令,,非库存产品下单前先询价,,
,,,150,,1600 ,,,,,原色坑纸,100g*2,,白色,令,1350 ,,,
,,,200,,2100 ,,,,,,110g*2,,黑色,令,1600 ,,,
,,,260,,2450 ,,,,,三层平面坑,100g*3,,特白,令,1500 ,,,
,,,300,,2850 ,,,,,,120g*3,,特白,令,1625 ,,,
,"星域典雅
星域丝趣
星域雅丽
星域细纹
星域细布",超白/米白,120,正度,1650 ,,,,,,,,纯黑,令,1925 ,,,
,,,150,,1800 ,,,,,,,,,,,,,
,,,200,,2300 ,,,注:,1、大度价格为正度价格*1.24,,,,,,,,,
,,,260,,2650 ,,,2024杭州悦声包装纸综合价格表,,,,,,,,,,
,,,300,,3050 ,,,,,,,,,,,,,
25,傲宝(平面),超白/单面,110,正度,1300 ,东莞基地产品，不备卷筒，不支持特规分切,,,品牌,品种,克重,规格,颜色/纹路,单位,批发价,备注,,
,,,130,,1400 ,,,嘉兴10月新品,凤歌环保,,150,正度,高亮充皮,令,3950,充皮纹/细格纹,,
,,,150,,1575 ,,,,,,150,,哑光充皮,令,3800,羊皮/淮枝,,
,,,240,,2150 ,,,,,,150,,金属充皮,令,3450,峰窜/流沙,,
,,,320,,2600 ,,,,,,柔性定制，适量库存，非样板标准产品，整卷起订约6000张。不足收开机费1500-2500元,,,,,,,
,傲宝(纹面),超白/单面,110,正度,1400 ,正度3令或者1300㎡起，不足开机费300,,,风行触感耐刮型,,120,正度,黑色/单面,令,1300,柔性定制，适量库存，非样板标准产品，整卷起订约6000张。不足收开机费1000-1500元,,
,,,130,,1500 ,,,,,,200,,,令,1675,,,
,,,150,,1675 ,,,,,,250,,,令,1900,,,
,,,240,,2250 ,,,,,,300,,,令,2250,,,
,,,320,,2700 ,,,,,,350,,,令,2350,,,
26,星萃双面,超白/冰白/米白,120,正/大度,1025 ,A,,,,,120,,红色/单面,令,1350,,,
,,,140,,1150 ,,,,,,200,,,令,1725,,,
,,,200,,1500 ,,,,,,250,,,令,1950,,,
,,,230,,1650 ,,,,,,300,,,令,2300,,,
,,,250,,1775 ,,,,,,350,,,令,2400,,,
,,,270,,1900 ,,,嘉兴新品,"新风行金属
（单面）",,135g,正度,冰晶白、晨粉金、玫瑰金、古典金、香槟金、青石金、炫金、太阳金、冰川银、冰晶蓝、梦幻紫、尚品紫、沉稳灰,令,1300,,,
,,雪冰白,120,,865 ,,,,,,,,紫铜金、中国红、烈焰红、红荔红、莱姆绿、翡翠绿、墨青绿、松石绿、晶钻蓝、星空蓝、、银碳色、金棕色、橡木棕、摩卡棕、石砚黑,令,1400,,,
,,,250,,1535 ,,,,,,160g,,太阳金、古典金、香槟金、星空蓝、摩卡棕,令,1450,,,
,,,320,,1870 ,,,,,,230g,,,令,1800,,,
,,金黄/紫红/古铜,140,,1400 ,,,,,风云触感/外购,120,正度,黑色/红色(平面）,令,950,嘉兴适量备货,,
,,太空银/粉红/紫红/米金/金黄/白金,270,,2175 ,,,,,风云流霞,120,,天蓝/粉红/桔黄,令,1100,,,
,,其它深色,270,,2375 ,,,,,,120,,鲜红/酒红/深蓝,令,1150,,,
27,星雨,标准色,130单面,正度,1250,东莞基地适量备货，常备卷筒支持特规分切,,,,万象流金,130单面,正度,平面（20个色）,令,1450,艾利丝、平面，嘉兴备正度规格，大度属于定制，起订数量不少于5000㎡,,
,,,130双面,,1350,,,,,,,,纹面（艾利丝）,令,1500,,,
,,,220,,2100 ,,,,,,200-P30,,平面/纹路,令,1800,,,
,,超白、米白,200,,1700 ,,,,,,130单面,,魅力红,令,1600,,,
,,,260,,2050 ,,,东莞新品,万象牌,踏雪,120,正度,冰川绿、初雪白、甜心粉、极光紫、清新黄、柏香棕,令,1550,东莞仓适量备货,,
,,中国红/艾利丝,130,,1350,,,,,玉沙,120,,沙尘灰、松叶绿、深冬灰、珊瑚粉、郁金紫、麦茶黄、圣洁白、贝壳米,令,1550,,,
,丝雨,标准色,130,正度,1500 ,,,,,万象兰迪,130,正度,"平面,20色",令,1425,东莞基地定制产品，不常备原纸,,
,,,230,,2400 ,,,,,万象魅影,130,正度,"平面,12色",令,1800,东莞基地适量备货，不支持特规,,
,,超白、米白,260,,2250 ,,,,,风云触感（DG）,130,正度,滑系列/红色,令,1100,,,
28,星梦,所有色,120,正度,1535 ,,,,,,130,,滑系列/黑色,令,1050,,,
,飘雪,超白、米白,120,正度,975 ,东莞基地适量备货，常备卷筒支持特规分切,,,,,130,正度,绒系列/红色,令,1350,,,
,,,150,,1075 ,,,,,,130,,绒系列/黑色,令,1200,,,
,,,200,,1400 ,,,,凝灿牌,"流金溢彩
单面纹",130,正度,7色,令,1600,东莞基地定制产品，原纸常备卷筒，支持特规特定,,
,,,250,,1700 ,,,,,,130,,沸点红/优雅米/贵族蓝/银河灰/孔雀蓝,令,1700,,,
,金砂,超白、米白,120,正度,1000 ,,,,,,130,,甜蜜桔/巴黎绿/经典红,令,1875,,,
,,,150,,1100 ,,,嘉兴生产产品,翼羽牌,彩域系列,120,正度,其它色,令,800,,,
,,,200,,1450 ,,,,,,120,,舒适蓝、坚毅棕、谦和灰,令,900,,,
,,,250,,1750 ,,,,,出色充皮,130,正度,高亮,令,1625,,,
29,星采双面,主色双面:白色/米白/银色/太空银/浅紫/粉红/白金/米金/浅蓝/金色/黑色(白底),250,正度,1450 ,,,,,,130,,哑光,令,1925,,,
,,深色双面:古铜/紫红/深紫/蓝色/深绿/深棕/银碳,,,1550 ,,,,风行系列,风行珠光   手袋专用,200,正度,白色,令,1175 ,,,
29,雅花珠光,雅白/平面,230g,正/大度,1000 ,平面：全部克重备货，压纹：128g雅丽纹、莱妮纹备货,,,,,200,,彩色,令,1200 ,,,
,,,300g,,1250 ,,,,,风行珠光,110,,冰白,令,600,柔性定制产品，适量备纸样，非标准产品，整卷6000张起订，低于6000张，开机费600-1000元,,
,,,350g,,1400 ,,,,,,130,,冰白,令,650,,,
30,大地纸,白色/米白/超白,104,正度,1000,,,,,,130,,金黄,令,725,,,
,,,209,,2000,,,,,,120,,主色,令,750,,,
,,,314,,3000,,,,,,,,深色,令,800,,,
,,浅灰/米黄/草绿/红棕/浅棕/深黄/中灰/鲜绿,104,,1050 ,,,,,,,,特殊色,令,850,,,
,,,209,,2100 ,,,,,,130,,定制浅色,令,825,,,
,,,314,,3200 ,,,,,,,,定制深色,令,875,,,
,,紫色/宝蓝/大红/黑色,104,,1125 ,,,,,,250,,冰白,令,1325 ,,,
,,,209,,2250 ,,,,,,300,,,令,1625 ,,,
,,,314,,3400 ,1、东莞为主要备货仓，嘉兴仓和北京仓按需备货,,,,风行充皮,120,正度,黑色,令,750,常备：平面/丝趣/细格/云盾/充皮/莱妮/美梨,,
31,彩烙纸,浅色:咖啡/草绿/浅棕/土黄,100单面,正度,1000 ,,,,,,,,其它色,令,800,,,
,,,200双面,,2050 ,2、定抄颜色最少起订数量15吨/色；,,,,,,,双色,令,900,,,
,,深色:卡其灰/碳黑/酒红/深灰/鲜红,100单面,,1100 ,,,,,"风行充皮
高亮/哑光",120,,黑色,令,1025,柔性定制产品，适量备纸样，非标准产品，整卷6000张起订，低于6000张，开机费600-1000元,,
,,,200双面,,2250 ,3、同色顺带抄造其它克重5吨起,,,,,,,其它色,令,1050,,,
,羊皮纸,9色,89,正度,925 ,,,,,"风行充皮
高克重",230g,,黑色/大红（平面/单面纹）,令,1700 ,,,
,,,176,,1850 ,4、定抄的误差+500kg以内,,,,,250g,,,令,1850 ,,,
32,里纸(羊绒纸),黑色,116,正度,1150 ,,,,,,300g,,,令,2125 ,,,
,,,198,,2000 ,5、货期：25-60天,,,,,350g,,,令,2400 ,,,
,,浅灰/浅棕/咖啡/橙色/枣红/  蓝色/鼠灰,116,,1050 ,,,,,风行触感,120克/平面单面,正度,黑色,令,1250 ,,,
,,,198,,1875 ,纸机抄造幅宽区间1520~1575mm,,,,,,,红色/桔红/金黄/雪白/白色,令,1350 ,,,
,石斑纸,米白/米黄/浅棕,120,正度,825 ,,,,,,,,其它深色,令,1400 ,,,
,,,250,正度,1700 ,,,,,,120克/纹面单面唯真/碎皮/雅丽,,黑色,令,1400 ,,,
,,,300,正度,2050 ,,,,,,,,红色,令,1450 ,,,
33,丝棉纸,米白/米黄/浅棕,100,正度,625 ,,,,,,,,其它色,令,1500 ,,,
,,米白/米黄/浅棕/红棕,200,,1250 ,,,,,,150,,黑色/单面,令,1500 ,,,
,,米白/米黄/浅棕,300,,1875 ,,,,,,250,,,令,2000,,,
,帕斯博       (环保丝点纸),白色/岩白/浅黄/浅棕/浅灰,104,正度,925 ,,,,,,300,,,令,2250,,,
,,,216,,1925 ,,,,,,350,,,令,2525,,,
,,白色/浅黄,298,,2675 ,,,,,,400,,,令,2800,,,
34,环保丝麻纸,本白/米色/浅棕,110,正度,800 ,东莞基地适量备货，不支持特规分切,,,,,260,,黑色/双面,令,2750,,,
,,,210,正度,1475 ,,,,,,150,,红色/单面,令,1500,,,
,,,310,正度,2150 ,,,,,,250,,,令,2025,,,
,环保纤维纸,驼色,270,正度,2365,,,,,,300,,,令,2300,,,
,,,300,,2625,,,,,,350,,,令,2575,,,
,,,400,,3500,,,,,,260,,红色/双面,令,2950,,,
,定位水印水纹,5色,100,430*610,350 ,售完10吨起订,,,,,250g单面,,其它色,令,2225,,,
35,晶彩牛油纸,雪白,75,正度,1001,按需定购，正度,,,,,260g双面,,,令,3000,,,
,,,105,,1397,,,,,,300g单面,,,令,2575,,,
,,,135,,1799,,,,,"风行触感
雅丽纹",P34,,"雅丽纹：桔红(红底）/夜蓝（黑底）/草绿（黑底）/沸红（黑底）
酷黑",令,1800,,,
,,,190,,2530,,,,,,P43,,,令,2100,,,
,,,210,,3652,,,,,"风行触感
雕金",160,正度,定制所有色,令,2200,单款颜色最少起订数量为正度或者大度6000张或者相应门幅的特规不少于5000㎡（误差数±100张以内），允许两个克重，单克重不能少于3000张或者2500㎡，以实际产出数量交付并结算货款。,,
,,彩色/8色,105,,2500 ,,,,,,260,,,令,2900,,,
,,珠光:黄金/银白/米金/银灰,105,,2525 ,,,,,,280,,,令,3000,,,
,,,210,,6500 ,,,,,"风行金属
 雕金",160,,,令,2325,,,
,新和纸,502,60,939*636,3945,整包（200张/包）出售，不接受拆零，货期3~7天,,,,,260,,,令,3025,,,
,,505,60,939*636,3945,,,,,,280,,,令,3100,,,
,,503,90,939*636,5885,,,,,"风行珠光
雕金",160,,,令,1900,,,
,,506,90,939*636,5885,,,,,,260,,,令,2600,,,
36,灵感本质,平面/单纹面,120,正度,1150 ,东莞基地批量备货,,,,,280,,,令,2700,,,
,,,150,,1400 ,东莞基地适量常备：支持特规分切,,1,意象牌,意象触感,130g单面,正度,黑色,令,2700 ,A类,,
,,,220,,2000 ,,,,,,240g单面,,,令,3600 ,,,
,,,250,,2400 ,,,,,,300g单面,,,令,4250 ,,,
,,,300,,2800 ,,,,,,130g单面,,红色,令,2700 ,,,
37,钻石彩卡      彩色,和谐红/贵族蓝,110-350,正度,18900/吨,,,,,,240g单面,,,令,3650 ,,,
,,,110,,900 ,,,,,,135g单面,,白色/象牙,令,2500 ,,,
,,,230,,1865 ,,,,,,260g双面,,,令,5250 ,,,
,,,250,,2025 ,,,,,,330g双面,,,令,5850 ,,,
,,,300,,2430 ,,,2,意象牌,锦絮飞扬,17001-P15,正度,超白/本白/金黄/灰色/深蓝/大红/深棕/深咖啡,令,1300 ,东莞基地定制产品,,
,,,350,,2835 ,,,,,,17001-P24,,超白/本白,令,2100 ,,,
,,,400,,3240 ,,,,,,17001-P30,,,令,2600 ,,,
39,绚烂色卡,其余色,180,正度,1100,非备货产品，按需调拨，货期3~7天,,,,锦絮炫彩,17002-P16,,超白/冰白/米白/白金(单面),令,2400 ,有原纸就接单生产，单独上机200g以下3吨，200g以上(含)40令，顺带生产至少整卷做货。,,
,,中黄 粉红 深黄 桔红 绿色,,,1200,,,,,,17002-P18,,超白/冰白(双面),令,3200 ,,,
,,其余色,250,,1525,,,,,,17001-P28,,,令,4125 ,,,
,,中黄 粉红 深黄 桔红 绿色,,,1675,,,,,,17001-P32,,,令,4700 ,,,
,纪州色纸,浅色,76.7g,正度,716,1、非备货产品，整包起订；,,,,锦絮丽画,17003-P18,,白色/米白,令,3100 ,,,
,,20#荧光黄、29#荧光绿、32#鲜绿、   01#白色,,,791,2、货期3~10天,,3,,新凯维斯    触感平面,130g单面,,橙黄/蔚蓝/暮蓝/芽绿/米白/白色/东方白/冰川蓝,令,1450 ,,,
,,21#大红,,,896,76.7g——250张/包,,,,,,,50个色,令,1650 ,备货产品：1、平面 60个色 正度规格； 2、唯真纹和雅丽纹2个颜色（黑色、红色）  正度规格；,,
,,浅色,124.4g,正度,1157,124.4g——125张/包,,,,,,,凝夜紫/风信紫,令,1750 ,,,
,,20#荧光黄、29#荧光绿、32#鲜绿、   01#白色,,,1197,153.5g——100张/包,,,,,120g单面,,单面-黑平面,令,1350 ,,,
,,21#大红,,,1397,204.7g——100张/包,,,,,130g单面,,,令,1400 ,,,
,,浅色,153.5g,正度,1423,,,,,,150g单面,,,令,1550 ,,,
,,浅色,204.7g,正度,2009,,,,,,240g单面,,,令,1975 ,50个色包括：灰色 红色 正红 藏蓝 宝蓝 咖啡 墨绿 黑色 铅灰 深蓝 棕色 金黄 水蓝 桔红 浓酒红 紫砂棕 胡桃棕 牡丹粉 豆沙粉 香妃粉 荷花粉 缃叶黄 樱草黄 云烟紫   青石灰 青铜绿 织锦灰 光影灰 摩卡灰 寒泉灰 明月黄 凤梨黄 密驼棕 烟叶棕 木姜黄 朱砂红 热带橙 胭脂红 圣女红 晴海绿 松石蓝 青竹绿中国绿 孔雀绿 景泰蓝 暮山紫   长春紫 水墨蓝 黑橡粽 千岁绿,,
贸易,仿纪州色纸（国产纪州色纸）(B),80g,普通色,正度,513 ,1、非备货产品；,,,,,300g单面,,,令,2350 ,,,
,,,特殊色,,543 ,普通色11/12/13/15/16/17/18/19/23/26/27/31/33/37/40/41#；                   特殊色：10/28/32/35#,,,,,350g单面,,,令,2625 ,,,
,,130g,普通色,,829 ,,,,,,250g双面,,双面-黑平面,令,2650 ,,,
,,,特殊色,正度,882 ,,,,,,330g双面,,,令,3050 ,,,
,,160g,普通色,,1025 ,非备货产品，按需调拨，货期3~7天,,,,,120g单面,,单面—红平面,令,1450 ,,,
,,,特殊色,,1146 ,,,,,,130g单面,,,令,1500 ,,,
,,210g,普通色,正度,1342 ,,,,,,150g单面,,,令,1700 ,,,
,,,特殊色,正度,1425 ,,,,,,240g单面,,,令,2300 ,,,
40,IK色纸,6色,75,正度,620 ,A,,,,,300g单面,,,令,2750 ,,,
,,浅色,80,,560 ,,,,,,250g双面,,双面—红平面,令,3050 ,,,
,,深色,,,595 ,,,,,琅彩,130g单面,正度,绿幻 赤幻,令,2800 ,东莞基地定制产品，原纸常备卷筒，支持特规特定,,
,,浅色,120,,840 ,,,,,,,,蓝幻 紫幻 黑幻 棕幻,令,2600 ,,,
,,深色,,,890 ,,,,,,,,金幻 银幻 玫瑰金 香槟金,令,2500 ,,,
,,4浅色,160,,1115 ,,,,,,250g双面,,蓝幻/黑幻/紫幻,令,5200 ,,,
41,新锐色纸,浅色,70-150,正/大度,9700/吨,B,,,,,,,绿幻,令,5600 ,,,
,,深色,80-110,,11000/吨,,,,,,350g单面,,蓝幻/紫幻,令,5000 ,,,
,,柠檬黄/翠绿,80-110,,12000/吨,,,4,凤歌牌,凤歌充皮01-A130（红宝石亮面）,130g,0.79*100,丹荔/斜格   大红,米,7.50 ,定制产品，原纸不常备，接单详询计划部,,
42,原色花纹纸,深色,150,正度,800 ,,,,,,,0.79*100,丹荔/斜格   黑色,米,6.30 ,,,
,,,230,,1150 ,,,,,凤歌充皮02-B130(哑面）,130g,0.79*100,碎皮/丹荔,米,8.30 ,,,
,,,250,,1250 ,,,,,凤歌充皮05-E140（红宝石PU充皮）,140g,正度,平面（单面）,令,4450 ,,,
,,,300,,1500 ,,,,,,300g,正度,,令,6450 ,,,
,,,350,,1725 ,,,5~6,凤歌牌,红宝石      金属充皮,140,0.8*100m,鸟巢/丝趣/云盾/细格  6色,米,7.60 ,,,
43,天丽白卡,亮白,120-400,正/大度,9500/吨,1、东莞批量备货，嘉兴仓个别克重批量备货；,,,,,140,正度,,令,4000 ,,,
,,,120,,490 ,,,,,红宝石     珠光充皮,140,,唯真纹/蜂窝纹,令,4000,,,
,,,140,,572 ,2、有卷筒存货时，分切特规，2500㎡起订（误差数±20张以内），不足收开机费200元,,,,红宝石     皮感充皮,140g,,纳柏纹:灰色/深棕/蓝色/浅棕/桔红/棕色,令,4000,,,
,,,180,,735 ,,,,,红宝石     高亮充皮,140正度,,单色,令,3750 ,,,
,,,230,,939 ,,,,,,,,双色,令,3950 ,,,
,,,250,,1021 ,,,6、8,凤歌牌凯维斯系列,新凯维斯       金属,130,正度,魔丽红 紫砂红 中国蓝 电光蓝 繁星棕 冷翡翠 粟金棕 珍珠灰 薄荷蓝 巧克力,令,1450 ,A类,,
,,,300,,1225 ,纸机造纸幅宽区间（2360~2620）mm,,,,,,,其它色/单面纹双色,令,1400 ,,,
,,,350,,1429 ,,,,,,,,中国红/宙斯黑,令,1600 ,,,
,,,400,,1633 ,,,,,凯维斯      珠光充皮,120,莲珠/蜥蜴荔枝/丝趣,金色/银色,令,1700 ,,,
44,CAD纯白卡,超白,,正/大度,13000/吨,,,,,,,,大红/金铜/宝蓝/紫红/棕桐/紫罗兰,令,1650 ,,,
,,,180,,1005.586592,,,,,凯维斯       UV高亮,130,正度,红色 深蓝 白色 黑色,令,3050 ,,,
,,,200,,1117 ,,,,,,,,双色,令,3375 ,,,
,,,230,,1285 ,1、非公司备货产品,,9,纯粹牌,万象丹荔一号,115g,正度,棕黄/棕红/棕色/天蓝,令,1450 ,1、东莞工厂备货（正度）；,,
,,,250,,1397 ,2、整件起订，不拆零,,,,,,,琥珀/鲜红/深咖啡,令,1550 ,2、定抄，单色3T起，货期15~30天；,,
,,,300,,1676 ,3、如定购特规，卷筒有货的情况下，整卷起定。,,,,万象丹荔二号,115g,正度,超白/天蓝/浅灰/棕黄/棕红/棕色,令,1450 ,,,
,,,350,,1955 ,,,,,,,,果绿 鲜红 深咖啡 琥珀 铬黄,令,1550 ,,,
,,,400,,2235 ,,,,,万象丹荔三号,115g,正度,纯白  沙棕  冷灰,令,1450 ,,,
,畅想平面,超白/本白,120-300,正/大度,9800/吨,售完15吨起订，纸机幅宽区间（1575-1760）mm,,,,,,,鲜红 深咖啡 琥珀,令,1550 ,,,
,嵩厚纸DG,本白,240-300,正度,11500/吨,有卷筒分切特规时，最少起订量1吨，不足须加收开机费200元,,,,万象画布纸,116,正度,超白/米黄/蛋壳黄,令,1000 ,1、东莞工厂备货（正度）；,,
45,美黛白牛皮,本白,100-180,正大度,11000/吨,1、整卷起订,,,,,148,,,令,1300 ,,,
,,,100,,475,2、拆零交付，价格上调5%,,,,,209,,,令,1850 ,2、涉及贸易拆货时价格另外核算,,
,,,120,,565,3、货期3~7天,,,,,116,,大红/深蓝/金黄/灰色,令,1050 ,,,
,,,150,,710,,,,,,148,,,令,1350 ,3、定抄，单色3T起,,
,,,180,,850,787门幅 约600kg/卷,,,,,209,,,令,1900 ,,,
,,,250,,1180,889门幅 约680kg/卷,,新,,万象蝶变纹,100,正度,风信紫,令,1725 ,,,
,正霸白牛皮,本白/高白             （FSC加500/吨）,100-400,正/大度,9300/吨,,,10,,万象皮纹纸,120g,正度,本质皮纹 7色,令,1400 ,S类,,
,,,100,,400 ,,,,,,130g,,充皮皮纹 / 亮光7色,令,1975 ,,,
,,,120,,480 ,,,,,万象麦穗纸,115g,正度,银白、嫩黄、鹅黄、浅灰、棕色,令,1175 ,,,
,,,150,,599 ,1、东莞批量备货,,,,,,,鲜红,,1325 ,,,
,,,180,,719 ,,,,,蚕丝,1.08*100米,,金黄/紫罗兰/太空银/宝蓝/森绿/棕桐,米,15.65 ,按需调拨，定色1000米起订,,
