2024杭州悦声印刷纸综合价格表,,,,,,,,2024杭州悦声包装纸综合价格表,,,,,,,,,,
未注明/吨的，均为令价,,,,,,,,未注明/吨的，均为令价,,,,,,,,,,
嘉兴自产型涂布珠光,"星烁
（快干）",单面/平面,135g,正度,900 ,"缎白
珠白",,,,,250g,,,令,1850 ,,,
,,,300g,,1750 ,,,,,,300g,,,令,2125 ,,,
,,,350g,,2050 ,,,,,,350g,,,令,2400 ,,,
,,双面/平面,135g,,975 ,"缎白
珠白",,,,风行触感,120克/平面单面,正度,黑色,令,1250 ,,,
,,,150g,,1100 ,,,,,,,,红色/桔红/金黄/雪白/白色,令,1350 ,,,
,,,250g,,1625 ,,,,,,,,其它深色,令,1400 ,,,
,,单面纹,135g,,1000 ,菱影/苏拉/拉丝,,,,,120克/纹面单面唯真/碎皮/雅丽,,黑色,令,1400 ,,,
,,,300g,,1850 ,冰丝、雅丽,,,,,,,红色,令,1450 ,,,
,,,350g,,2150 ,亚麻、几何,,,,,,,其它色,令,1500 ,,,
,星采丽印   （JX）,冰白,120单面,正/大度,675,嘉兴基地批量备货,,,,,150,,黑色/单面,令,1500 ,,,
,,,300单面,,1450,,,,,,250,,,令,2000,,,
,,,350单面,,1725,,,,,,300,,,令,2250,,,
,,,150,,900,,,,,,350,,,令,2525,,,
,,,200,,1050,,,,,,400,,,令,2800,,,
,,,250,,1275,,,,,,260,,黑色/双面,令,2750,,,
,,,300,,1500,,,,,,150,,红色/单面,令,1500,,,
,,,350,,1700,,,,,,250,,,令,2025,,,
,星采速印（JX）,冰白,250,正/大度,1200,定制产品，5-10吨起,,,,,300,,,令,2300,,,
,,,300,,1450,,,,,,350,,,令,2575,,,
嘉兴自产型涂布产品,新映彩（JX）,嘉兴仓后期白色/雪白,120-330,,9800/吨,1、嘉兴仓备货-雪白色，正度，大度，787和889门幅卷，偶有635门幅卷；,,,,,260,,红色/双面,令,2950,,,
,,,120,,480 ,,,,,,250g单面,,其它色,令,2225,,,
,,,150,,600 ,2、特规分切，起定数量2500㎡（成品误差数±100张以内），以实际产出数量结算货款,,,,,260g双面,,,令,3000,,,
,,,180,,720 ,,,,,,300g单面,,,令,2575,,,
,,,200,,800 ,,,,,"风行触感
雅丽纹",P34,,"雅丽纹：桔红(红底）/夜蓝（黑底）/草绿（黑底）/沸红（黑底）
酷黑",令,1800,,,
,,,240,,960 ,,,,,,P43,,,令,2100,,,
,,,280,,1120 ,3、不足起定数量，加收开机费200元,,,,"风行触感
雕金",160,正度,定制所有色,令,2200,单款颜色最少起订数量为正度或者大度6000张或者相应门幅的特规不少于5000㎡（误差数±100张以内），允许两个克重，单克重不能少于3000张或者2500㎡，以实际产出数量交付并结算货款。,,
,,,300,,1200 ,白色和米白色售完，200g以下单次10吨起订，200g以上单次5万㎡起订,,,,,260,,,令,2900,,,
,,,330,,1320 ,,,,,,280,,,令,3000,,,
,,,370,,1480 ,,,,,"风行金属
 雕金",160,,,令,2325,,,
,新印画,高白/浅米,100-300,正/大度,9700/吨,1、嘉兴仓备货，正度，大度，787和889门幅卷，偶有635门幅卷；,,,,,260,,,令,3025,,,
,,,100,,415 ,,,,,,280,,,令,3100,,,
,,,120,,495 ,2、特规分切，单一幅宽起定数量2500㎡（成品误差数±100张以内），以实际产出数量结算货款,,,,"风行珠光
雕金",160,,,令,1900,,,
,,,140,,580 ,,,,,,260,,,令,2600,,,
,,,170,,700 ,3、不足起定数量，加收开机费200元,,,,,280,,,令,2700,,,
,,,200,,825 ,,,1,意象牌,意象触感,130g单面,正度,黑色,令,2700 ,A类,,
,,,240,,990 ,4.压纹:单面纹+0.20元/张，双面纹+0.30元/张，非样板标准产品，压纹6000张起订,,,,,240g单面,,,令,3600 ,,,
,,,300,,1240 ,,,,,,300g单面,,,令,4250 ,,,
,画卿,原白/自然白,80,正/大度,10000/吨,嘉兴基地后续备量备货,,,,,130g单面,,红色,令,2700 ,,,
,,,100,,,,,,,,240g单面,,,令,3650 ,,,
,,,120,,,,,,,,135g单面,,白色/象牙,令,2500 ,,,
嘉兴自产型嵩厚产品,樱松超感,超白/本白,195-290,正/大度,11000/吨,嘉兴基地适量备货,,,,,260g双面,,,令,5250 ,,,
